filename,title,description,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
oldTown.jpg,Quebec City,Quebec City's Old Town.,Quebec,City,Travel,Canada,Summer,2019,XE-1,,,
oldTownAlley.jpg,Alley,An alley in Quebec City's Old Town.,Quebec,City,Travel,Canada,Summer,2019,XE-1,,,
oldTownAtNight.jpg,Night,Old Town at night.,Quebec,City,Travel,Nighttime,Canada,Summer,2019,XE-1,,
openRoad.jpg,Open Road,An open road travelled during a trek up to Canada.,Travel,Nature,Summer,2018,XE-1,,,,,
ottawa.jpg,Building,Another building in Ottawa.,Ottawa,Travel,Canada,City,2019,XE-1,,,,
ottawaBuilding.jpg,Building,This building in Ottawa produced on of my all time favorite pictures. Everything seemed to click and there is absolutely 0 post processing on this image.,Ottawa,Travel,Canada,City,2019,XE-1,,,
peddlarsVillage.jpg,Autumn,A quaint slice of Peddlar's Village in the fall.,Nature,Art,Pennsylvania,2018,XE-1,,,,,
pittsburghDay.jpg,Pitt,A good daytime shot of Pittsburgh,Skyline,City,Pennsylvania,2019,XT-3,Pittsburgh,,,
pittsburghNight.jpg,Pitt,On Washington's Overlook at the steel city,Skyline,Nighttime,City,Pennsylvania,2019,XT-3,Pittsburgh,,
quebec.jpg,Quebec,Quebec City Old Town from a bird's eye drone view.,Drone,Aerial,Quebec,City,Skyline,Art,2019,,,
route78.jpg,Route 78 NJ,Another drone shot near exit 33 on NJ's Route 78.,Drone,Aerial,New Jersey,Travel,Nighttime,2019,,,
sailBoat.jpg,Sailing,A golden hour shot of a lonely sailboat.,Spring,New Jersey,Nature,2018,XE-1,,,,,
smithville.jpg,Village Green,Smithville NJ down near Stockton College.,Nighttime,Stockton,Winter,Christmas,2019,XE-1,,,,
smokey.jpg,Smokey the Bear,Smokey cat.,Smokey,Animals,2014,Flemington,XE-1,,,,,
smokey2.jpg,Buddy,Another shot of smokey cat.,Smokey,Animals,2014,Flemington,XE-1,,,,,
squirrel.jpg,Squirrel,This guy sure was photogenic. I got a lot of good shots of him.,Animals,Nature,Bridgewater,Summer,2018,XE-1,,,,
stinky.jpg,Stink,This cat was stinky.,Stinky,Animals,Flemington,Summer,2012,XE-1,,,,
streetsOfChicago.jpg,Chi-Streets,Random shot of Chicago nighttime streets in the West Loop.,Chicago,Illinois,Nighttime,Summer,2019,XT-3,,,,
sunset.jpg,Sunset,Hockey drone shot of the sunset.,Drone,Aerial,Nature,Flemington,Spring,2019,,,,
sure.jpg,Shure,Up close microphone.,Music,Flemington,2018,XE-1,,,,,,
thinking.jpg,Boo Kitty,The cat looks pensive Boo Cat,Animals,2019,Summer,XT-3,,,,,,
tiltShift.jpg,Tilting,Trying my first hand at tilt-shift editing to make Niagara Falls look like a small model.,Niagara Falls,Canada,Travel,Nature,Summer,2018,XE-1,,,
toronto.jpg,Toronto,Toronto skyline from Toronto Islands.,Toronto,Canada,Skyline,Nighttime,City,Travel,Summer,2019,XE-1,
torontoBlue.jpg,Toronto,Toronto skyline from Toronto Islands.,Toronto,Canada,Skyline,Nighttime,City,Travel,Summer,2019,XE-1,
torontoFlowers.jpg,Toronto Flowers,Up close of some flours outside of Casa Loma.,Toronto,Canada,Nature,Travel,Summer,2019,XE-1,,,
torontoSillhouette.jpg,Toronto,Toronto skyline as seen from Toronto Islands.,Toronto,Canada,Skyline,Nighttime,City,Travel,Summer,2019,XE-1,
torontoWide.jpg,Toronto,Toronto skyline.,Toronto,Canada,Skyline,Nighttime,City,Travel,Summer,2019,XE-1,
walking.jpg,Walking Girl,Took this picture in the mist of Montmorency Falls outside of Quebec City.,Quebec,Nature,Travel,Summer,2019,XE-1,,,,
washingtonRock.jpg,Rock,Up on Washington's Rock which offers a pretty far albeit nice view of New York City.,Nature,Martinsville,New Jersey,Skyline,Autumn,2016,XE-1,,,
whiteHouse.jpg,House,The White House in Washington DC.,Travel,Washington DC,Art,City,Summer,2012,XE-1,,,
xmasEve.jpg,Eve,The night before Christmas.,Christmas,Winter,Animals,Bridgewater,2018,XE-1,,,,
xmasLights.jpg,Lights,Christmas lights in Martinsville NJ.,Christmas,Winter,New Jersey,Art,2018,XE-1,,,,
xmasLights2.jpg,Lights,Christmas lights in Martinsville NJ.,Christmas,Winter,New Jersey,Art,2018,XE-1,,,,
xmasOrnament.jpg,Ornament,A Christmas ornament.,Christmas,Winter,Bridgewater,New Jersey,Art,2018,XE-1,,,
